solution size,time use(s),space use
8,0.011,315
10,0.025,733
8,0.018,396
6,0.007,193
6,0.003,106
10,0.025,754
10,0.054,1368
14,0.407,7661
12,0.126,2853
20,4.237,86097
14,0.183,5084
12,0.068,1989
14,0.255,6536
12,0.112,2988
8,0.009,285
4,0.002,37
8,0.012,312
20,4.162,94890
6,0.004,142
8,0.01,285
12,0.071,2166
10,0.038,1152
18,1.658,41113
6,0.004,145
10,0.028,930
6,0.004,172
8,0.011,354
8,0.01,339
8,0.011,357
10,0.034,1090
6,0.003,100
6,0.004,145
8,0.011,384
6,0.005,166
16,0.525,13886
4,0.001,37
8,0.007,246
4,0.001,37
4,0.002,52
14,0.25,6950
8,0.01,339
8,0.008,264
8,0.008,279
4,0.001,37
10,0.025,802
12,0.093,2802
4,0.002,52
8,0.01,354
6,0.004,133
