solution size,time use(s),space use
8,0.004,119
8,0.004,121
4,0,28
8,0.004,152
8,0.004,119
12,0.031,922
10,0.014,435
6,0.002,72
10,0.009,296
14,0.033,980
6,0.002,66
8,0.003,116
6,0.002,75
4,0,18
6,0.001,44
2,0,8
12,0.021,612
6,0.002,47
14,0.033,1005
10,0.006,199
14,0.13,3288
12,0.07,1774
6,0.002,69
12,0.068,1838
14,0.062,1635
12,0.026,697
6,0.002,49
12,0.018,537
8,0.003,128
10,0.008,267
2,0,8
6,0.001,54
2,0,8
4,0.001,28
12,0.018,519
10,0.016,460
2,0,6
16,0.254,5601
6,0.003,69
2,0,8
8,0.004,123
8,0.005,163
10,0.007,218
6,0.002,62
4,0,18
16,0.244,5640
6,0.002,66
6,0.002,42
8,0.003,114
12,0.022,696
