solution size,time use(s),space use
10,0.121,10
1,1.283,0
10,0.287,10
10,0.032,10
10,0,10
10,0.268,10
10,0.076,10
10,0.058,10
10,0.002,10
10,0.037,10
10,0.002,10
1,1.211,0
4,0,4
1,1.209,0
1,1.207,0
4,0,4
10,0.009,10
10,0.572,10
1,0.603,0
10,0.354,10
1,1.2,0
10,0.602,10
10,0.131,10
1,1.2,0
10,0.074,10
1,0.599,0
10,0.061,10
10,0.002,10
1,0.597,0
10,0.425,10
10,0.281,10
1,0.6,0
10,0.352,10
10,0.031,10
10,0.114,10
10,0.222,10
10,0.345,10
1,0.597,0
10,0.072,10
1,1.195,0
1,0.601,0
10,0.065,10
1,0.596,0
10,0.413,10
10,0.001,10
10,0.285,10
1,0.601,0
2,0,2
1,0.6,0
1,0.598,0
