solution size,time use(s),space use
6,0.007,231
12,0.179,4277
4,0.004,63
8,0.035,515
6,0.012,205
8,0.034,693
10,0.061,1185
14,0.62,8419
8,0.052,671
10,0.136,2391
8,0.027,471
4,0.003,63
2,0.001,21
2,0,9
4,0.002,61
8,0.052,885
10,0.111,1603
8,0.027,593
14,0.688,10379
10,0.129,1417
4,0.003,63
12,0.335,4807
14,0.834,11245
10,0.1,1843
12,0.266,4483
6,0.013,225
8,0.041,847
14,0.746,15649
8,0.024,621
4,0.002,63
10,0.073,2057
6,0.007,217
14,0.578,11295
4,0.002,63
8,0.031,495
8,0.034,831
8,0.023,673
8,0.02,547
10,0.042,1189
2,0.001,31
18,2.366,48705
12,0.197,4747
2,0.001,9
10,0.048,1487
10,0.1,2391
2,0,9
6,0.008,233
14,0.721,15631
4,0.003,61
8,0.019,477
