n,total(ms),runTime(ms)
0,193450,0.003869
1,313535,0.0062707
2,497061,0.00994121
3,476392,0.00952785
4,584464,0.0116893
5,571565,0.0114313
6,565931,0.0113186
7,582060,0.0116412
8,732073,0.0146415
9,740534,0.0148107
10,743883,0.0148777
11,741794,0.0148359
12,735421,0.0147084
13,739388,0.0147878
14,733226,0.0146645
15,744177,0.0148835
16,943523,0.0188705
17,946112,0.0189222
18,941484,0.0188297
19,973815,0.0194763
20,942876,0.0188575
21,941518,0.0188304
22,957866,0.0191573
23,965283,0.0193057
24,954899,0.019098
25,941500,0.01883
26,939427,0.0187885
27,943692,0.0188738
28,941212,0.0188242
29,944616,0.0188923
30,944673,0.0188935
31,962112,0.0192422
32,1.13006e+06,0.0226012
33,1.12417e+06,0.0224835
34,1.14786e+06,0.0229573
35,1.14188e+06,0.0228377
36,1.13562e+06,0.0227124
37,1.15067e+06,0.0230135
38,1.14689e+06,0.0229377
39,1.14973e+06,0.0229947
40,1.13244e+06,0.0226488
41,1.12098e+06,0.0224196
42,1.11502e+06,0.0223005
43,1.12224e+06,0.0224447
44,1.12241e+06,0.0224482
45,1.11664e+06,0.0223327
46,1.13556e+06,0.0227112
47,1.12899e+06,0.0225798
48,1.12711e+06,0.0225421
49,1.13228e+06,0.0226455
50,1.12581e+06,0.0225162
51,1.11669e+06,0.0223339
52,1.12146e+06,0.0224292
53,1.12757e+06,0.0225513
54,1.1243e+06,0.022486
55,1.1325e+06,0.02265
56,1.11875e+06,0.022375
57,1.11435e+06,0.022287
58,1.12525e+06,0.022505
59,1.1263e+06,0.0225261
60,1.12334e+06,0.0224668
61,1.11787e+06,0.0223573
62,1.11848e+06,0.0223695
63,1.11843e+06,0.0223686
64,1.29328e+06,0.0258657
65,1.2968e+06,0.025936
66,1.30535e+06,0.0261071
67,1.29312e+06,0.0258623
68,1.29866e+06,0.0259732
69,1.29736e+06,0.0259472
70,1.30706e+06,0.0261412
71,1.30988e+06,0.0261975
72,1.29867e+06,0.0259733
73,1.30733e+06,0.0261465
74,1.29842e+06,0.0259683
75,1.28989e+06,0.0257979
76,1.29474e+06,0.0258949
77,1.29242e+06,0.0258483
78,1.29436e+06,0.0258872
79,1.29776e+06,0.0259553
80,1.30594e+06,0.0261188
81,1.2926e+06,0.025852
82,1.29989e+06,0.0259979
83,1.31584e+06,0.0263168
84,1.30218e+06,0.0260435
85,1.29936e+06,0.0259871
86,1.29691e+06,0.0259382
87,1.29597e+06,0.0259194
88,1.30107e+06,0.0260213
89,1.29596e+06,0.0259191
90,1.29805e+06,0.025961
91,1.29044e+06,0.0258088
92,1.2909e+06,0.0258179
93,1.29188e+06,0.0258377
94,1.29858e+06,0.0259715
95,1.28955e+06,0.0257909
96,1.29265e+06,0.025853
97,1.29994e+06,0.0259989
98,1.2977e+06,0.025954
99,1.28786e+06,0.0257573
