row,col,count
0,0,6
0,1,9
0,2,9
0,3,8
0,4,4
0,5,1
0,6,2
0,7,1
0,8,2
0,9,7
0,10,9
0,11,8
0,12,9
0,13,10
0,14,3
1,0,9
1,1,11
1,2,13
1,3,13
1,4,11
1,5,10
1,6,6
1,7,5
1,8,4
1,9,10
1,10,14
1,11,12
1,12,10
1,13,14
1,14,8
2,0,8
2,1,16
2,2,5
2,3,10
2,4,13
2,5,12
2,6,12
2,7,7
2,8,6
2,9,8
2,10,14
2,11,13
2,12,11
2,13,13
2,14,7
3,0,9
3,1,12
3,2,10
3,3,6
3,4,14
3,5,15
3,6,14
3,7,6
3,8,6
3,9,5
3,10,5
3,11,8
3,12,10
3,13,13
3,14,8
4,0,11
4,1,14
4,2,13
4,3,10
4,4,12
4,5,15
4,6,10
4,7,12
4,8,6
4,9,7
4,10,5
4,11,3
4,12,7
4,13,10
4,14,6
5,0,13
5,1,16
5,2,8
5,3,9
5,4,10
5,5,16
5,6,15
5,7,13
5,8,5
5,9,7
5,10,11
5,11,7
5,12,5
5,13,8
5,14,3
6,0,10
6,1,21
6,2,11
6,3,12
6,4,15
6,5,14
6,6,18
6,7,18
6,8,10
6,9,9
6,10,9
6,11,16
6,12,8
6,13,4
6,14,3
7,0,4
7,1,9
7,2,11
7,3,11
7,4,18
7,5,11
7,6,12
7,7,12
7,8,14
7,9,10
7,10,7
7,11,5
7,12,7
7,13,3
7,14,1
8,0,7
8,1,8
8,2,11
8,3,12
8,4,12
8,5,13
8,6,9
8,7,10
8,8,6
8,9,5
8,10,6
8,11,8
8,12,5
8,13,5
8,14,1
9,0,9
9,1,6
9,2,11
9,3,10
9,4,18
9,5,17
9,6,10
9,7,4
9,8,5
9,9,5
9,10,3
9,11,11
9,12,5
9,13,5
9,14,2
10,0,10
10,1,16
10,2,12
10,3,18
10,4,16
10,5,7
10,6,9
10,7,4
10,8,5
10,9,7
10,10,13
10,11,7
10,12,3
10,13,2
10,14,2
11,0,8
11,1,19
11,2,20
11,3,13
11,4,16
11,5,12
11,6,8
11,7,7
11,8,3
11,9,5
11,10,3
11,11,7
11,12,5
11,13,6
11,14,3
12,0,12
12,1,13
12,2,11
12,3,9
12,4,14
12,5,17
12,6,5
12,7,6
12,8,6
12,9,6
12,10,8
12,11,14
12,12,6
12,13,8
12,14,7
13,0,10
13,1,16
13,2,8
13,3,14
13,4,12
13,5,9
13,6,8
13,7,4
13,8,3
13,9,8
13,10,9
13,11,12
13,12,14
13,13,6
13,14,2
14,0,3
14,1,11
14,2,9
14,3,5
14,4,8
14,5,5
14,6,3
14,7,1
14,8,1
14,9,5
14,10,9
14,11,9
14,12,5
14,13,7
14,14,1
