time,average of takeoff waiting time, average of landing waiting time,average of landing left time,number of emergency landing plane
0,0,0,15,0
1,0.6666666666666666,0.3333333333333333,11.333333333333334,0
2,1,1,8.2,0
3,1.6666666666666667,1.3333333333333333,7.5,0
4,1.6666666666666667,2,6,0
5,2.5,2.3,5.8,0
6,3.2,2.6363636363636362,5.636363636363637,0
7,3.5454545454545454,3.230769230769231,5.3076923076923075,0
8,3.9166666666666665,3.533333333333333,4.866666666666666,0
9,3.9166666666666665,4,4.388888888888889,0
10,4.785714285714286,4.315789473684211,4.368421052631579,0
11,5.2,4.9523809523809526,4.333333333333333,0
12,6.333333333333333,4.9523809523809526,4.333333333333333,0
13,7,5.318181818181818,4.363636363636363,0
14,7.333333333333333,5.695652173913044,4.3478260869565215,0
15,8,5.695652173913044,4.3478260869565215,0
16,8.64,5.695652173913044,4.3478260869565215,0
